,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
0,55,toulouse,00055 - ST-SERNIN - GATIEN - ARNOULT,2 RUE GATIEN ARNOULT,"{'lat': 43.609022, 'lng': 1.441105}",False,False,15,14,0,OPEN,1761047673000
1,385,toulouse,00385 - VITARELLES - FRONDE,"21, chemin de la Fronde","{'lat': 43.587323, 'lng': 1.39462}",False,False,13,5,8,OPEN,1761047959000
2,195,toulouse,00195 - RIEUX - CHANT DU MERLE,FACE 15 RUE PIERRE LAROUSSE,"{'lat': 43.597355, 'lng': 1.459063}",False,False,18,14,4,OPEN,1761048107000
3,29,toulouse,00029 - VALADE,31 RUE VALADE,"{'lat': 43.605031, 'lng': 1.437386}",False,False,21,1,20,OPEN,1761048202000
4,400,toulouse,00400 - SAINT-MARTIN-DU-TOUCH GARE,"4, rue Marie Louise Dissard (sur la contre allée face au parking de la halte)","{'lat': 43.600614, 'lng': 1.372218}",False,False,13,11,2,OPEN,1761047972000
5,280,toulouse,00280 - CHARBONNIÈRE - PALMIERS,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,"{'lat': 43.573732, 'lng': 1.448768}",False,False,18,13,5,OPEN,1761048017000
6,156,toulouse,00156 - EMPALOT - MÉTRO,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,"{'lat': 43.579666, 'lng': 1.44184}",True,False,18,9,5,OPEN,1761048194000
7,242,toulouse,00242 - RIMBAUD - COLETTE / PADER - FRONTON,8 RUE HILAIRE PADER,"{'lat': 43.63639, 'lng': 1.433072}",False,False,16,8,6,OPEN,1761048171000
8,373,toulouse,00373 - REYNERIE - LIZOP,,"{'lat': 43.566932, 'lng': 1.400526}",False,False,13,4,9,OPEN,1761047899000
9,224,toulouse,00224 - BELIN - SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,"{'lat': 43.56644, 'lng': 1.475301}",False,False,20,5,15,OPEN,1761048210000
10,339,toulouse,00339 -  GLOIRE - SAVIGNAC,"57, rue Labat de Savignac, 40m après angle rue de la Gloire","{'lat': 43.605899, 'lng': 1.463601}",False,False,13,10,1,OPEN,1761048041000
11,229,toulouse,00229 - AV. DE RANGUEIL - PELUDE,129 AV DE RANGUEIL,"{'lat': 43.57141, 'lng': 1.462732}",False,False,18,4,11,OPEN,1761048163000
12,154,toulouse,00154 - HOTEL DE REGION,50 M AVANT 4 RUE DES GALLOIS,"{'lat': 43.589928, 'lng': 1.441706}",False,False,19,18,0,OPEN,1761047718000
13,96,toulouse,00096 - MÉDIATHÈQUE JOSÉ CABANIS,50 RUE DU GENERAL COMPANS,"{'lat': 43.609757, 'lng': 1.455212}",True,False,25,15,7,OPEN,1761048035000
