,Unnamed: 0,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
0,0,55,toulouse,00055 - ST-SERNIN - GATIEN - ARNOULT,2 RUE GATIEN ARNOULT,False,False,15,13,1,OPEN,1761038000000,43.609022,1.441105
1,1,385,toulouse,00385 - VITARELLES - FRONDE,"21, chemin de la Fronde",False,False,13,8,5,OPEN,1761038025000,43.587323,1.39462
2,2,195,toulouse,00195 - RIEUX - CHANT DU MERLE,FACE 15 RUE PIERRE LAROUSSE,False,False,18,11,7,OPEN,1761038085000,43.597355,1.459063
3,3,29,toulouse,00029 - VALADE,31 RUE VALADE,False,False,21,1,20,OPEN,1761038178000,43.605031,1.437386
4,4,400,toulouse,00400 - SAINT-MARTIN-DU-TOUCH GARE,"4, rue Marie Louise Dissard (sur la contre allée face au parking de la halte)",False,False,13,8,5,OPEN,1761037704000,43.600614,1.372218
5,5,280,toulouse,00280 - CHARBONNIÈRE - PALMIERS,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,False,False,18,14,4,OPEN,1761038164000,43.573732,1.448768
6,6,156,toulouse,00156 - EMPALOT - MÉTRO,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,True,False,18,1,14,OPEN,1761038137000,43.579666,1.44184
7,7,242,toulouse,00242 - RIMBAUD - COLETTE / PADER - FRONTON,8 RUE HILAIRE PADER,False,False,16,5,9,OPEN,1761038020000,43.63639,1.433072
9,9,224,toulouse,00224 - BELIN - SUPAERO,10 AV EDOUARD BELIN FACE CHATEAU D'EAU CREPS RD-PT JEAN LAGASSE,False,False,20,6,14,OPEN,1761037954000,43.56644,1.475301
10,10,339,toulouse,00339 -  GLOIRE - SAVIGNAC,"57, rue Labat de Savignac, 40m après angle rue de la Gloire",False,False,13,11,0,OPEN,1761037729000,43.605899,1.463601
11,11,229,toulouse,00229 - AV. DE RANGUEIL - PELUDE,129 AV DE RANGUEIL,False,False,18,0,16,OPEN,1761038070000,43.57141,1.462732
12,12,154,toulouse,00154 - HOTEL DE REGION,50 M AVANT 4 RUE DES GALLOIS,False,False,19,16,1,OPEN,1761038160000,43.589928,1.441706
13,13,96,toulouse,00096 - MÉDIATHÈQUE JOSÉ CABANIS,50 RUE DU GENERAL COMPANS,True,False,25,22,2,OPEN,1761038165000,43.609757,1.455212
14,14,65,toulouse,00065 - VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,False,False,27,24,2,OPEN,1761037971000,43.596904,1.452596
15,15,22,toulouse,00022 - CARNOT - ROLAND,24 BD LAZARE CARNOT,False,False,20,14,3,OPEN,1761037950000,43.602914,1.451719
16,16,236,toulouse,00236 - TOEC - LEMIRE,RUE DE L'ABBE JULES LEMIRE ANGLE VOIE DU TOEC,False,False,20,8,12,OPEN,1761038129000,43.597322,1.403694
17,17,315,toulouse,000315 - FRONTON - LAPIN,"269, Avenue de Fronton",False,False,13,11,1,OPEN,1761038031000,43.651176,1.432557
18,18,111,toulouse,00111 - BD DES MINIMES - PASSERELLE,38B BD DES MINIMES,False,False,27,24,2,OPEN,1761038157000,43.615273,1.442937
19,19,152,toulouse,00152 - THÉATRE DES MAZADES,10 AV DES MAZADES,False,False,20,15,0,OPEN,1761037970000,43.624114,1.438463
20,20,243,toulouse,00243 - ÉTATS-UNIS - FERRY,FACE 97 AV DES ETATS-UNIS ANGLE JULES FERRY,False,False,17,9,8,OPEN,1761037963000,43.632734,1.431732
22,22,334,toulouse,00334  - GLOIRE - SAINT BERNARD,"1, rue Saint-Bertrand",False,False,13,6,3,OPEN,1761038149000,43.605557,1.458483
23,23,174,toulouse,00174 - BOURGES - MAUNOURY - MÉLAT,41 AV MAURICE BOURGES MAUNOURY,False,False,19,7,9,OPEN,1761037935000,43.63694,1.452615
24,24,298,toulouse,00298 - ROUTE DE SEYSSES - C. DE VICOSE,Route de Seysses - C. de Viçose,False,False,13,1,11,OPEN,1761038171000,43.57179,1.418239
25,25,276,toulouse,00276 - MARIN - REBOUL,FACE 1 CHEMIN DU MARIN,False,False,18,8,10,OPEN,1761038076000,43.581463,1.379769
26,26,77,toulouse,00077 - SAINT-CYPRIEN - METRO VIÉ,2 PL INTERIEURE SAINT-CYPRIEN,False,False,13,2,11,OPEN,1761037617000,43.59778,1.431619
27,27,137,toulouse,00137 - BRUNHES - FONTAINES,68 BD JEAN BRUNHES FACE AU 53,False,False,15,12,3,OPEN,1761038149000,43.600473,1.420165
28,28,295,toulouse,00295 - PLACE GUY HERSANT,"Place Guy Hersant, angle rue Alfred Rambaud",False,False,13,12,0,OPEN,1761038076000,43.577461,1.442964
29,29,348,toulouse,00348 - REVEL - LABEGE,", Rond-point route de Revel / route de Labège face Jardiland et Midas,",False,False,13,0,13,OPEN,1761038171000,43.570862,1.49832
30,30,3002,toulouse,03002 - DOUMERGUE - DAUDET,"Face 142, rue Gaston Doumergue - Tournefeuille",False,False,16,9,7,OPEN,1761037915000,43.586113,1.352169
31,31,144,toulouse,00144 - SUISSE - LAUSANNE,62 BD DE SUISSE,False,False,22,18,4,OPEN,1761038003000,43.615988,1.42163
32,32,5001,toulouse,05001 - RAMONVILLE MÉTRO,Avenue Flora Tristan sur le côté sud du bâtiment d’accès métro - Ramonville,True,False,16,1,4,OPEN,1761037948000,43.55563,1.476132
33,33,40,toulouse,00040 - COLOMBETTE - MAURY,41 RUE DE LA COLOMBETTE,False,False,16,13,3,OPEN,1761037687000,43.604565,1.453659
34,34,25,toulouse,00025 - PLACE ROUAIX,1 RUE DES TOURNEURS,False,False,18,3,14,OPEN,1761038179000,43.599525,1.445544
35,35,74,toulouse,00074 - LAGANNE - TEINTURIERS,37 RUE LAGANNE,False,False,18,9,9,OPEN,1761037952000,43.596667,1.436229
