route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1197569,1900169,0,Balma-Gramont,11970
line:61,27_1198091,1900691,1,Basso Cambo,11971
line:61,27_1198580,1901179,1,Basso Cambo,11971
line:61,27_1198123,1900723,1,Basso Cambo,11971
line:61,27_1197650,1900250,0,Balma-Gramont,11970
line:61,27_1198381,1900980,0,Balma-Gramont,11970
line:61,27_1199382,1901978,1,Basso Cambo,11971
line:61,27_1198721,1901320,1,Basso Cambo,11971
line:61,27_1198361,1900960,0,Balma-Gramont,11970
line:61,27_1199011,1901609,1,Basso Cambo,11971
line:61,27_1198143,1900743,1,Basso Cambo,11971
line:61,27_1198987,1901585,1,Basso Cambo,11971
line:61,27_1197715,1900315,0,Balma-Gramont,11970
line:61,27_1199732,1902324,1,Basso Cambo,11971
line:61,27_1197640,1900240,0,Balma-Gramont,11970
line:61,27_1200104,1902681,0,Balma-Gramont,11970
line:61,27_1197927,1900527,0,Balma-Gramont,11970
line:61,27_1198579,1901178,1,Basso Cambo,11971
line:61,27_1200012,1902593,1,Basso Cambo,11971
line:61,27_1199601,1902194,0,Balma-Gramont,11970
line:61,27_1198556,1901155,1,Basso Cambo,11971
line:61,27_1199155,1901752,0,Balma-Gramont,11970
line:61,27_1198997,1901595,1,Basso Cambo,11971
line:61,27_1199810,1902400,1,Basso Cambo,11971
line:61,27_1197978,1900578,1,Basso Cambo,11971
line:61,27_1199080,1901678,1,Basso Cambo,11971
line:61,27_1197853,1900453,0,Balma-Gramont,11970
line:61,27_1198591,1901190,1,Basso Cambo,11971
line:61,27_1199311,1901908,1,Basso Cambo,11971
line:61,27_1199767,1902358,1,Basso Cambo,11971
line:61,27_1199943,1902526,1,Basso Cambo,11971
line:61,27_1199305,1901902,1,Basso Cambo,11971
line:61,27_1197755,1900355,0,Balma-Gramont,11970
line:61,27_1199918,1902502,1,Basso Cambo,11971
line:61,27_1198718,1901317,1,Basso Cambo,11971
line:61,27_1199779,1902370,1,Basso Cambo,11971
line:61,27_1199217,1901814,1,Basso Cambo,11971
line:61,27_1199634,1902227,1,Basso Cambo,11971
line:61,27_1198910,1901508,0,Balma-Gramont,11970
line:61,27_1198440,1901039,0,Balma-Gramont,11970
line:61,27_1198820,1901418,0,Balma-Gramont,11970
line:61,27_1199293,1901890,1,Basso Cambo,11971
line:61,27_1199429,1902024,0,Balma-Gramont,11970
line:61,27_1197995,1900595,1,Basso Cambo,11971
line:61,27_1198855,1901453,0,Balma-Gramont,11970
line:61,27_1198827,1901425,0,Balma-Gramont,11970
line:61,27_1199790,1902381,1,Basso Cambo,11971
line:61,27_1197894,1900494,0,Balma-Gramont,11970
line:61,27_1199742,1902333,0,Balma-Gramont,11970
line:61,27_1199261,1901858,1,Basso Cambo,11971
line:61,27_1197598,1900198,0,Balma-Gramont,11970
line:61,27_1198711,1901310,1,Basso Cambo,11971
line:61,27_1199216,1901813,1,Basso Cambo,11971
line:61,27_1200072,1902652,1,Basso Cambo,11971
